conv_filters,num_conv_layers,kernel_size,dilation_rate,lstm_units,dropout_rate,learning_rate,mean_val_loss,std_val_loss,mean_val_mae,std_val_mae,n_params,pass_number,search_parameter,from_cache,stability_score
"(256,)",1,3,4,128,0.1,0.001,0.041809619714816414,0.0005752426405583915,0.22048386931419373,0.0011125139068265423,418463,1,lstm_units,False,0.04238486235537481
"(256,)",1,3,2,128,0.1,0.001,0.043903140972057976,0.0009190334630456438,0.22564386328061423,0.0030543552142882663,418463,2,dilation_rate,False,0.04482217443510362
"(256,)",1,3,4,64,0.1,0.001,0.043614805986483894,0.001226229971296075,0.22454074521859488,0.0023405692316821186,180383,1,dilation_rate,False,0.04484103595777997
"(256,)",1,3,1,64,0.1,0.001,0.04333250100413958,0.0017916630135885396,0.22624955574671426,0.004930376257196224,180383,1,kernel_size,False,0.04512416401772812
"(256,)",1,5,1,64,0.1,0.001,0.04536156728863716,0.00044495798217645497,0.22931455075740814,0.0009638084294129053,184991,1,conv_filters,False,0.045806525270813615
"(256,)",1,7,4,128,0.1,0.001,0.04501743738849958,0.0008830640082851652,0.2295196851094564,0.0023012219633042758,427679,2,kernel_size,False,0.04590050139678475
"(128,)",1,3,4,128,0.1,0.001,0.04437912628054619,0.0015620920647084497,0.2284475862979889,0.002764423602905961,283551,2,conv_filters,False,0.045941218345254636
"(64,)",1,3,4,128,0.1,0.001,0.04444813976685206,0.001535102094939099,0.22620150446891785,0.0033703409281578968,216095,2,conv_filters,False,0.04598324186179116
"(256,)",1,3,4,128,0.1,0.003,0.04487048089504242,0.001417769344828428,0.22897760073343912,0.00256293786101907,418463,1,learning_rate,False,0.04628825023987085
"(256,)",1,3,2,64,0.1,0.001,0.04459629704554876,0.0017151478574337286,0.23074845472971597,0.004838981276008916,180383,1,dilation_rate,False,0.04631144490298249
"(256,)",1,5,4,128,0.1,0.001,0.04437859356403351,0.003429826371548611,0.22763331731160483,0.009691807484324135,423071,2,kernel_size,False,0.04780841993558212
"(256,)",1,3,1,128,0.1,0.001,0.04624574755628904,0.002671884671388786,0.23246341943740845,0.00483126414095927,418463,2,dilation_rate,False,0.048917632227677824
"(64,)",1,5,1,64,0.1,0.001,0.04896380131443342,0.0003630281456259976,0.23849129676818848,0.0002460764254566867,77471,1,conv_filters,False,0.04932682946005942
"(128, 256)",2,3,4,128,0.1,0.001,0.04608064889907837,0.00336101909564527,0.23247089485327402,0.008671530672934979,513695,2,conv_filters,False,0.04944166799472364
"(128,)",1,5,1,64,0.1,0.001,0.04776092618703842,0.0027532867545812614,0.23598129550615946,0.004935081474249386,113311,1,conv_filters,False,0.05051421294161968
"(256,)",1,7,1,64,0.1,0.001,0.048785814394553505,0.0030165426309052717,0.23792560895284018,0.008653158827182154,189599,1,kernel_size,False,0.051802357025458774
"(32,)",1,3,4,128,0.1,0.001,0.05001398300131162,0.0023241700514845605,0.2420435051123301,0.005888161608071995,182367,2,conv_filters,False,0.05233815305279618
"(32, 64, 128)",3,3,4,128,0.1,0.001,0.05018064255515734,0.002324515448245992,0.2416739563147227,0.006675546724981278,311967,2,conv_filters,False,0.052505158003403336
"(32,)",1,5,1,64,0.1,0.001,0.0494330550233523,0.0038116618294189507,0.23972216248512268,0.006660048050060326,59551,1,conv_filters,False,0.053244716852771254
"(64, 128)",2,3,4,128,0.1,0.001,0.04896437004208565,0.004748786287203017,0.23992367088794708,0.01351033072158756,306591,2,conv_filters,False,0.053713156329288664
"(128, 256)",2,5,1,64,0.1,0.001,0.05112844084699949,0.002734864310955126,0.24565998216470084,0.007971908269808087,343455,1,conv_filters,False,0.053863305157954615
"(16,)",1,5,1,64,0.1,0.001,0.05098331222931544,0.0034148400491875244,0.243883083264033,0.009827469716336227,50591,1,conv_filters,False,0.05439815227850296
"(64, 128, 256)",3,5,1,64,0.1,0.001,0.05210600917538007,0.002423864256372741,0.2478354126214981,0.00634723383557763,381727,1,conv_filters,False,0.054529873431752814
"(64, 128)",2,5,1,64,0.1,0.001,0.05172980576753616,0.0028743262933862536,0.2472725659608841,0.007237886956506769,151583,0,initial_config,False,0.05460413206092242
"(64, 128, 256)",3,3,4,128,0.1,0.001,0.05201250563065211,0.002790477403620346,0.24793714781602225,0.007378903500001878,536735,2,conv_filters,False,0.05480298303427245
"(32, 64)",2,5,1,64,0.1,0.001,0.0539280337591966,0.001843502904504192,0.25131453076998395,0.004938929695080482,86367,1,conv_filters,False,0.05577153666370079
"(32, 64)",2,3,4,128,0.1,0.001,0.05102021247148514,0.00475485051310594,0.24573287864526114,0.012928826765735025,221471,2,conv_filters,False,0.055775062984591076
"(16, 32)",2,3,4,128,0.1,0.001,0.05631475895643234,0.0007285338146363641,0.2577396333217621,0.0015962050657645137,183519,2,conv_filters,False,0.057043292771068704
"(32, 64, 128)",3,5,1,64,0.1,0.001,0.053621488312880196,0.003567375263250779,0.2520608554283778,0.01063444916070788,160479,1,conv_filters,False,0.057188863576130976
"(16,)",1,3,4,128,0.1,0.001,0.05531122535467148,0.0027878020034815295,0.25519880652427673,0.006196028126538211,165503,2,conv_filters,False,0.058099027358153005
"(16, 32)",2,5,1,64,0.1,0.001,0.05536879971623421,0.0034861934817008405,0.25469909111658734,0.009991522633324248,61439,1,conv_filters,False,0.058854993197935045
"(16, 32, 64)",3,3,4,128,0.1,0.001,0.05824731414516767,0.004556256182679107,0.2612195412317912,0.012043931729892102,222623,2,conv_filters,False,0.06280357032784678
"(16, 32, 64)",3,5,1,64,0.1,0.001,0.0606139674782753,0.002764379718093111,0.26849620540936786,0.0053021495039661665,88255,1,conv_filters,False,0.06337834719636841
