conv_filters,num_conv_layers,kernel_size,dilation_rate,lstm_units,dropout_rate,learning_rate,mean_val_loss,std_val_loss,mean_val_mae,std_val_mae,stability_score,n_params
"(256, 16, 64)",3,3,1,64,0.1,0.001,0.04811168213685354,0.0016731003305158435,0.2369735836982727,0.005146571080213295,0.04978478246736938,97679
"(256, 16, 32)",3,3,4,128,0.1,0.003,0.048358737180630364,0.007065660371032621,0.23837009569009146,0.020639804069162482,0.055424397551662986,203055
"(32, 256, 32)",3,7,2,64,0.1,0.003,0.05539702624082565,0.001760090088030045,0.25501396755377453,0.004312115565688588,0.0571571163288557,175679
"(128, 64, 32)",3,7,1,64,0.1,0.003,0.048683123042186104,0.007732103683747876,0.23619318008422852,0.017834207053846973,0.05641522672593398,138431
"(256, 128, 256)",3,5,2,128,0.1,0.003,0.04367633908987045,0.0014939946041346308,0.22504669427871704,0.005124878254335201,0.04517033369400508,751903
"(64, 16, 128)",3,7,1,128,0.1,0.003,0.048384618014097214,0.0025422832214741613,0.23858826359113058,0.007107175776189005,0.05092690123557138,305871
"(128, 32, 256)",3,7,2,64,0.1,0.001,0.05685000245769819,0.0016036356127464924,0.25809580087661743,0.006077970130542923,0.05845363807044468,268031
"(32, 16, 64)",3,3,4,128,0.1,0.001,0.060408937434355416,0.0024755460215867726,0.266229381163915,0.007907960617273101,0.06288448345594219,219983
"(128, 256, 32)",3,5,1,64,0.1,0.001,0.050204584995905556,0.0020164743286316313,0.2439412126938502,0.005900864107768969,0.05222105932453719,269823
"(256, 64, 64)",3,5,2,128,0.1,0.001,0.051442645490169525,0.006713884827936843,0.2452349712451299,0.016658532567287124,0.058156530318106366,329247
"(16, 256, 16)",3,5,1,64,0.1,0.003,0.05490748708446821,0.0022346513703241718,0.25604591766993207,0.007739364733446398,0.05714213845479238,92367
"(32, 256)",2,3,2,64,0.1,0.003,0.055522311478853226,0.004348174392871956,0.25632864733537036,0.010184524008895277,0.05987048587172518,199007
"(32, 64, 64)",3,3,1,128,0.1,0.003,0.04800893490513166,0.002118235410288176,0.23788028955459595,0.005773278641723811,0.050127170315419835,233951
"(32, 128, 32)",3,5,4,128,0.1,0.003,0.05576047052939733,0.0003536831162020267,0.25688987970352173,0.002152980836091415,0.05611415364559936,224383
"(16, 32, 16)",3,3,2,64,0.1,0.003,0.06378877907991409,0.00039897365574250934,0.2752152880032857,0.001980803046524574,0.0641877527356566,53519
"(64, 256, 256)",3,5,2,64,0.1,0.003,0.045267305026451744,0.0016415669986120638,0.23022985955079397,0.0025774941925595474,0.04690887202506381,586911
