conv_filters,num_conv_layers,kernel_size,dilation_base,lstm_units,dropout_rate,learning_rate,val_loss_single_seed,val_mae_single_seed,n_params
"(128, 256, 16)",3,7,1,128,0.2,0.0015283007861169701,0.03587314113974571,0.20506425201892853,471508
"(128,)",1,7,1,128,0.1,0.003936181955399311,0.03601120039820671,0.2042473554611206,290196
"(128,)",1,7,1,128,0.1,0.0032659560708565064,0.03663451597094536,0.20587216317653656,290196
"(128,)",1,7,1,128,0.1,0.0032735064788348184,0.03730372339487076,0.20768916606903076,290196
"(128,)",1,7,3,128,0.1,0.0015407674946107022,0.03731983155012131,0.20471763610839844,290196
"(128,)",1,7,1,128,0.1,0.00337980562584819,0.03742416575551033,0.20542550086975098,290196
"(256,)",1,7,2,128,0.1,0.0013657023490441303,0.037644289433956146,0.21082423627376556,430996
"(128,)",1,7,3,128,0.1,0.001294947588809552,0.03799593448638916,0.20735934376716614,290196
"(128,)",1,7,3,128,0.1,0.0031139861471170954,0.038231510668992996,0.20636406540870667,290196
"(256,)",1,7,3,128,0.1,0.001374293403837019,0.03834180161356926,0.21224820613861084,430996
"(128,)",1,7,1,128,0.1,0.003856172100263564,0.0385148860514164,0.21250876784324646,290196
"(128,)",1,7,1,128,0.1,0.0038051169611137974,0.03966498747467995,0.21198895573616028,290196
"(256,)",1,7,2,128,0.1,0.0015150190625447416,0.03995626047253609,0.21694493293762207,430996
"(256,)",1,7,2,128,0.05,0.0014883481952842766,0.040220364928245544,0.21779045462608337,430996
"(128, 256, 16, 64, 256)",5,7,2,128,0.2,0.0011147467129931524,0.04030456393957138,0.21858714520931244,857812
"(128,)",1,7,3,128,0.1,0.0037827499155042507,0.04043891653418541,0.2170829027891159,290196
"(128, 32, 128, 32, 64)",5,5,3,128,0.1,0.001791357330843932,0.04051535204052925,0.21649304032325745,309396
"(256, 64, 16)",3,7,2,128,0.05,0.0002704557799423691,0.04162964969873428,0.22369082272052765,324820
"(128, 16, 16)",3,7,1,64,0.1,0.0028638744363014414,0.041842833161354065,0.22074061632156372,78596
"(128,)",1,7,1,128,0.05,0.0027164892767581428,0.04210880771279335,0.21951977908611298,290196
"(256, 128, 64, 128)",4,3,2,64,0.05,0.0009553057578887412,0.04222165048122406,0.22232267260551453,316052
"(256, 128, 64, 128)",4,3,2,64,0.05,0.0015033169023002941,0.04298088699579239,0.22504374384880066,316052
"(64, 32)",2,7,3,128,0.1,0.0010150667045928574,0.0432552769780159,0.22482000291347504,203540
"(256, 256)",2,5,2,32,0.05,0.0005980936926751829,0.04358624666929245,0.2267991155385971,422292
"(256, 128)",2,5,1,32,0.05,0.0010090423315981853,0.045743249356746674,0.22768984735012054,258196
"(64,)",1,7,3,128,0.2,0.0007728716861851782,0.047581933438777924,0.23667551577091217,219796
"(128,)",1,7,1,32,0.3,0.0011902012049596242,0.047739386558532715,0.2312164306640625,55956
"(16, 256, 32, 32, 32)",5,5,1,128,0.1,0.00010218376758008094,0.05712200328707695,0.2600369155406952,268404
"(64, 16, 16, 256, 256)",5,3,1,64,0.3,0.004316871138429612,0.06477530300617218,0.2727005183696747,395780
