conv_filters,kernel_size,dilation_base,lstm_units,dropout_rate,learning_rate,mean_val_loss,std_val_loss,mean_val_mae,std_val_mae,stability_score,n_params
"(256, 128, 64)",5,2,128,0.1,0.001,0.03953656367957592,0.0002050306648015976,0.21618949621915817,0.0007432326674461365,0.03974159434437752,481156
"(256, 32)",5,1,64,0.2,0.001,0.04127541184425354,0.0008036307990550995,0.21857582032680511,0.0021004527807235718,0.04207904264330864,127748
"(256, 32)",5,3,64,0.2,0.001,0.04136860743165016,0.000986974686384201,0.22036176919937134,0.001977473497390747,0.04235558211803436,127748
"(256, 64)",3,3,128,0.1,0.003,0.04129760153591633,0.0014850031584501266,0.22069896757602692,0.003750041127204895,0.042782604694366455,294276
"(128, 128, 32)",5,3,64,0.2,0.001,0.04277554899454117,0.001751050353050232,0.222517691552639,0.0038827136158943176,0.0445265993475914,175748
"(256, 64)",5,2,64,0.2,0.003,0.04360973834991455,0.00119679793715477,0.22788717597723007,0.001171506941318512,0.04480653628706932,193412
"(32, 64)",7,2,64,0.2,0.003,0.04348902963101864,0.0017929952591657639,0.22603433579206467,0.00421423465013504,0.0452820248901844,95236
"(32, 256, 64)",5,2,64,0.2,0.003,0.04417505860328674,0.0015386715531349182,0.22750923037528992,0.0024871528148651123,0.04571373015642166,226564
"(32, 128)",7,3,128,0.2,0.003,0.043752849102020264,0.0019958876073360443,0.22534186393022537,0.002964235842227936,0.04574873670935631,317188
"(32, 32)",3,3,128,0.2,0.001,0.044577572494745255,0.0017276592552661896,0.2306208834052086,0.005875192582607269,0.046305231750011444,187236
"(256, 32)",7,3,128,0.2,0.001,0.041999803856015205,0.00436500646173954,0.2209894210100174,0.009606078267097473,0.046364810317754745,273668
"(256, 128, 64)",7,2,64,0.2,0.001,0.04490290582180023,0.002228766679763794,0.22734709829092026,0.0049943700432777405,0.047131672501564026,429444
"(32, 256, 256)",3,2,64,0.2,0.003,0.04609344154596329,0.001640569418668747,0.23132270574569702,0.006350889801979065,0.047734010964632034,406532
"(32, 256, 128)",7,1,64,0.2,0.001,0.048436978831887245,0.00036595575511455536,0.23844731599092484,0.0013104304671287537,0.0488029345870018,440580
"(128, 32, 64)",7,3,64,0.2,0.003,0.04595010541379452,0.0028980355709791183,0.2298303321003914,0.007818333804607391,0.048848140984773636,137732
"(64, 128, 32)",5,2,128,0.1,0.001,0.04735049791634083,0.0015638675540685654,0.23696517199277878,0.0047242119908332825,0.04891436547040939,261636
"(32, 128)",7,3,64,0.1,0.003,0.047953344881534576,0.0009712725877761841,0.23607327789068222,0.0017009153962135315,0.04892461746931076,144644
"(256, 256)",3,1,128,0.1,0.003,0.045517466962337494,0.0037712641060352325,0.23180937767028809,0.009283259510993958,0.049288731068372726,622468
"(64, 64)",5,1,128,0.1,0.003,0.047812096774578094,0.0022312477231025696,0.23761387169361115,0.00559563934803009,0.050043344497680664,240708
"(128, 64, 64)",5,1,128,0.1,0.003,0.047691820189356804,0.002563187852501869,0.23769747465848923,0.004739202558994293,0.05025500804185867,294980
"(32, 64)",3,1,128,0.2,0.003,0.0479422602802515,0.002805931493639946,0.2383703738451004,0.007525399327278137,0.05074819177389145,225284
"(32, 256, 64)",7,1,64,0.1,0.001,0.05077664740383625,0.0007360260933637619,0.24705615639686584,0.003094285726547241,0.05151267349720001,276484
"(32, 256)",5,3,128,0.2,0.003,0.047655653208494186,0.0046769604086875916,0.23695462942123413,0.012793198227882385,0.05233261361718178,464388
"(128, 256)",5,3,64,0.1,0.001,0.05188526399433613,0.0007289852946996689,0.2492685616016388,0.0028795599937438965,0.0526142492890358,381060
"(64, 256)",3,2,64,0.2,0.001,0.05034165643155575,0.003310011699795723,0.24333246797323227,0.009834595024585724,0.05365166813135147,243588
"(64, 128, 64)",3,3,128,0.1,0.003,0.05366268567740917,0.0003661494702100754,0.2497890368103981,0.0019323155283927917,0.05402883514761925,284804
"(256, 128)",5,2,128,0.1,0.003,0.04871280863881111,0.0056700631976127625,0.2380901575088501,0.0164320170879364,0.054382871836423874,497284
"(256, 128)",5,2,128,0.1,0.003,0.04871280863881111,0.0056700631976127625,0.2380901575088501,0.0164320170879364,0.054382871836423874,497284
"(64, 256, 128)",5,2,64,0.1,0.003,0.04983723163604736,0.005492415279150009,0.2401239275932312,0.013864189386367798,0.05532964691519737,409476
"(64, 256, 128)",5,2,128,0.1,0.001,0.0531958881765604,0.005885818973183632,0.2501988410949707,0.0145815908908844,0.059081707149744034,582020
