conv_filters,num_conv_layers,kernel_size,dilation_rate,lstm_units,dropout_rate,learning_rate,mean_val_loss,std_val_loss,mean_val_mae,std_val_mae,n_params,pass_number,search_parameter,from_cache,stability_score
"(64, 128)",2,5,1,64,0.1,0.001,0.051497261971235275,0.0006044261970035295,0.24669788777828217,0.0016457715623466361,151583,0,initial_config,False,0.052101688168238805
"(16,)",1,5,1,64,0.1,0.001,0.051646143198013306,0.003485515535520906,0.24451185762882233,0.011285676315691589,50591,1,conv_filters,False,0.05513165873353421
"(32,)",1,5,1,64,0.1,0.001,0.051276626686255135,0.003953080018752879,0.24616986513137817,0.007708354926145439,59551,1,conv_filters,False,0.055229706705008014
"(64,)",1,5,1,64,0.1,0.001,0.04887324323256811,0.0012937811953469876,0.23708297808965048,0.0029054061541031306,77471,1,conv_filters,False,0.0501670244279151
"(128,)",1,5,1,64,0.1,0.001,0.04724314312140147,0.0013519834921128081,0.23376800119876862,0.0039790102350405815,113311,1,conv_filters,False,0.048595126613514276
"(256,)",1,5,1,64,0.1,0.001,0.04779250795642535,0.0008052489242898605,0.23599274456501007,0.004897565905271429,184991,1,conv_filters,False,0.04859775688071521
"(16, 32)",2,5,1,64,0.1,0.001,0.05642408380905787,0.00029817044610200196,0.25869550307591754,0.0012129104530522285,61439,1,conv_filters,False,0.05672225425515987
"(32, 64)",2,5,1,64,0.1,0.001,0.05270958070953687,0.003462974087685828,0.24702254931131998,0.007705550677024095,86367,1,conv_filters,False,0.056172554797222704
"(64, 128)",2,5,1,64,0.1,0.001,0.051497261971235275,0.0006044261970035295,0.24669788777828217,0.0016457715623466361,151583,1,conv_filters,True,0.052101688168238805
"(128, 256)",2,5,1,64,0.1,0.001,0.05209292471408844,0.0029326773244288573,0.24714352687199911,0.007644150934941817,343455,1,conv_filters,False,0.0550256020385173
"(16, 32, 64)",3,5,1,64,0.1,0.001,0.05941342065731684,0.0032128626021508894,0.2655540605386098,0.0064135393093016245,88255,1,conv_filters,False,0.06262628325946773
"(32, 64, 128)",3,5,1,64,0.1,0.001,0.04832848906517029,0.005388430774202646,0.23759945233662924,0.014821356657791813,160479,1,conv_filters,False,0.053716919839372934
"(64, 128, 256)",3,5,1,64,0.1,0.001,0.05219320704539617,0.0035271766617182947,0.25016337633132935,0.008482382001760628,381727,1,conv_filters,False,0.05572038370711446
"(128,)",1,3,1,64,0.1,0.001,0.04626056427756945,0.0008956312478492869,0.23261146744092306,0.0017661960535457332,111007,1,kernel_size,False,0.047156195525418734
"(128,)",1,5,1,64,0.1,0.001,0.04724314312140147,0.0013519834921128081,0.23376800119876862,0.0039790102350405815,113311,1,kernel_size,True,0.048595126613514276
"(128,)",1,7,1,64,0.1,0.001,0.048060220976670585,0.000852542576487891,0.23741878072420755,0.0020264945110989095,115615,1,kernel_size,False,0.048912763553158475
"(128,)",1,3,1,64,0.1,0.001,0.04626056427756945,0.0008956312478492869,0.23261146744092306,0.0017661960535457332,111007,1,dilation_rate,True,0.047156195525418734
"(128,)",1,3,2,64,0.1,0.001,0.049113236367702484,0.0016580925433193241,0.23845143616199493,0.0029881853177667925,111007,1,dilation_rate,False,0.05077132891102181
"(128,)",1,3,4,64,0.1,0.001,0.042313276479641594,0.0018417169659526085,0.22233156859874725,0.0056242008747348065,111007,1,dilation_rate,False,0.044154993445594204
"(128,)",1,3,4,64,0.1,0.001,0.042313276479641594,0.0018417169659526085,0.22233156859874725,0.0056242008747348065,111007,1,lstm_units,True,0.044154993445594204
"(128,)",1,3,4,128,0.1,0.001,0.04209489251176516,0.0009616388723845079,0.2221794972817103,0.0026132148810293783,283551,1,lstm_units,False,0.043056531384149666
"(128,)",1,3,4,128,0.1,0.001,0.04209489251176516,0.0009616388723845079,0.2221794972817103,0.0026132148810293783,283551,1,dropout_rate,True,0.043056531384149666
"(128,)",1,3,4,128,0.1,0.001,0.04209489251176516,0.0009616388723845079,0.2221794972817103,0.0026132148810293783,283551,1,learning_rate,True,0.043056531384149666
"(128,)",1,3,4,128,0.1,0.003,0.04311240464448929,0.0016378177773686733,0.22516299287478128,0.004792390011345451,283551,1,learning_rate,False,0.044750222421857964
"(16,)",1,3,4,128,0.1,0.001,0.05766631166140238,0.0014284603325877827,0.2616608838240306,0.0048958894786095795,165503,2,conv_filters,False,0.059094771993990165
"(32,)",1,3,4,128,0.1,0.001,0.04951109737157822,0.0016188139232737278,0.23830256362756094,0.0037509996726312876,182367,2,conv_filters,False,0.05112991129485194
"(64,)",1,3,4,128,0.1,0.001,0.04592691734433174,0.001900173904883606,0.22924927373727164,0.004990717003035216,216095,2,conv_filters,False,0.047827091249215345
"(128,)",1,3,4,128,0.1,0.001,0.04209489251176516,0.0009616388723845079,0.2221794972817103,0.0026132148810293783,283551,2,conv_filters,True,0.043056531384149666
"(256,)",1,3,4,128,0.1,0.001,0.042965187380711235,0.0018595921795858945,0.22502948343753815,0.006381205179443529,418463,2,conv_filters,False,0.04482477956029713
"(16, 32)",2,3,4,128,0.1,0.001,0.05374306937058767,0.0033070555587578097,0.251407856742541,0.010418850227606467,183519,2,conv_filters,False,0.057050124929345476
